Topic,Tag,Tweet,Replies,Retweets,Likes,Quote Retweets,Sentiment Score,Sentiment
FIFA World Cup,Celeb,From  @reuterspictures : Top moments from Day 16 of the #FIFAWorldCup in Qatar. Brazil thrash Korea 4-1 while Croatia beat Japan in a penalty shootout to advance to the quarter-finals,0,5,18,2,-0.296,neg
FIFA World Cup,Celeb,Dominik Livakovic joined an elite club in saving three Japan penalties to help Croatia into the World Cup quarter-finals. @mattpyzdrowski  explains why  his technique was perfect,3,6,45,2,0.7506,pos
FIFA World Cup,Celeb,Japan took encouragement from sticking their opponent on the canvas early on but ultimately found themselves ground down over 12 rounds by a wily old stager used to going the distance. Can’t see Croatia getting past Brazil though #jpn #hrv,6,5,52,0,0.2263,pos
FIFA World Cup,Celeb,Have really enjoyed watching Japan this World Cup. I know people say this all the time but they feel so close to cracking it.,4,1,40,6,0.3174,pos
FIFA World Cup,Celeb,Vote for #Croatia Man of the Match vs. Japan!  #JPNCRO   #FIFAWorldCup #Qatar2022 #Family #Vatreni,10,46,428,6,0.0,neu
FIFA World Cup,Celeb,Japanese coach bows to fans at the end,5,27,150,2,0.0,neu
FIFA World Cup,Celeb,The first penalty shootout at the 2022 #FIFAWorldCup did not disappoint   Croatia advance. Japan go home at the Round of 16 again.  #OptusSport,0,3,19,20,-0.1882,neg
FIFA World Cup,Celeb,When #HRV's Luka Modric went off against #JPN the crowd rose in acclaim.   It seemed everyone was gripped by the same thought: is this the end?  These are the closing stages on the world stage for a modern great. But no one is ready for that yet.    @DTathletic,0,9,136,136,0.4588,pos
FIFA World Cup,Celeb,Brazil  Croatia   @AlexiLalas  and  @Statmanmosse  react to Monday's round of 16 games on the State of the Union (Sponsored by  @StateFarm  #GoodNeighbor),9,7,48,48,0.0,neu
FIFA World Cup,Celeb,"It’s another last-16 heartbreak for Japan. So was this a missed opportunity against Croatia, or still a campaign of huge pride? My report:",3,6,42,2,0.1531,pos
