Topic,Tag,Tweet,Replies,Retweets,Likes,Quote Retweets,Sentiment Score,Sentiment
FIFA World Cup,Nesws,Dani Alves on Lionel Messi: “Everything goes through him”. https://mundoalbiceleste.com/2022/12/05/dani-alves-on-lionel-messi-everything-goes-through-him/…,0,3,9,N/A,0.0,neu
FIFA World Cup,Nesws,Who were  @Casemiro 's footballing idols growing up?   #MUFC || #Melitta,6,31,413,1,0.1779,pos
FIFA World Cup,Nesws,"Richarlison showed love to his  @SpursOfficial  teammate, Heung-Min Son, after the two faced off at the #FIFAWorldCup.     @richarlison97",4,49,397,5,0.6369,pos
FIFA World Cup,Nesws,I know how hard you fought to be here and that's why you're a hero to your people  @Sonny7 ! ,"3,860",42.4K,277.2K,12.9K,0.2942,pos
FIFA World Cup,Nesws,From  @reuterspictures : Top moments from Day 16 of the #FIFAWorldCup in Qatar. Brazil thrash Korea 4-1 while Croatia beat Japan in a penalty shootout to advance to the quarter-finals,1,18,65,4,-0.296,neg
FIFA World Cup,Nesws,Ahh you still out here? Will message you xx,2,1,10,19,0.0,neu
FIFA World Cup,Nesws,Make this man foreign minister AGORA!,29,119,"1,639",7,0.0,neu
FIFA World Cup,Nesws,"Speaking of fenómeno, Richarlison teaches R9 how to do the  dance and of course, as it’s tradition, touches his legs and right foot as a blessing",9,40,251,0,0.4939,pos
FIFA World Cup,Nesws,What a great night v match. Thank you to  @roadto2022  @roadto2022en  and The SC committee for Inviting us to the game. Seeing the  live and dancing. Their fans are quite something .  @neymarjr  is on  so happy he was fit to play. #Brazil #Neymar #FIFAWorldCup #Qatar2022,9,19,117,118,0.9555,pos
FIFA World Cup,Nesws,8 - Brazil are the only side to participate in the quarterfinals of all eight editions of the World Cup since 1994. Giant.,3,42,292,3,0.0,neu
FIFA World Cup,Nesws,PLAYER RATINGS: Neymar sparkles but Son stutters as Brazil thrash South Korea,4,8,73,1,-0.2144,neg
FIFA World Cup,Nesws,"Animated by a soundtrack of samba drums and rhythmic dancing cascading down from the stands, Brazil played today in a way reminiscent of the 1970 and 1982 teams that captured the hearts of football fans all across the world. #FIFAWorldCup #bra  @Reuters :",7,16,133,3,0.7717,pos
FIFA World Cup,Nesws,Croatia and Brazil are through to the quarterfinals!   What did you think of their Round of 16 performances?,13,42,315,9,0.0,neu
FIFA World Cup,Nesws,Brazil dance their way into the quarter-finals   They set up a date with Croatia after their win over Japan on penalties.  Are the Seleção #FIFAWorldCup favourites? @HungryJacksAU  #OptusSport,0,3,38,38,0.5859,pos
FIFA World Cup,Nesws,The Seleção spirit was on full display as Brazil danced through an overmatched South Korea.  @jonawils  on as dominant a half as we've seen at the World Cup—one that was almost too easy and shouldn't be expected to be replicated vs. Croatia,3,15,61,2,0.5141,pos
RIP Bob,Nesws,"""He died peacefully at home, surrounded by his family,"" his relatives wrote in a statement.",21,29,176,2,-0.0516,neg
RIP Bob,Nesws,"RIP Bob McGrath. I was a first generation Sesame Street kid and I loved everything about the show. The music, the muppets. It was way ahead of it's time. And Bob radiated kindness as did all the other cast members. RS",13,16,263,2,0.7845,pos
RIP Bob,Nesws,"Today's GIF of the Day is dedicated to the memory of Bob McGrath, who played Bob on Sesame Street beginning with its very first episode. His warmth, kindness. and  musical talent made him a such a memorable presence the show, and he will be missed. RIP, Bob.",0,15,176,176,0.9001,pos
RIP Bob,Nesws,"RIP Bob McGrath, 90, well-known and beloved from SESAME STREET.",0,3,40,40,0.5106,pos
RIP Bob,Nesws,Loved him - RIP Bob! ,0,2,4,4,0.636,pos
RIP Bob,Nesws,"Bob McGrath was more than just the gentle, sweater-wearing human from Sesame Street.  Named after Irish patriot Robert Emmett, Bob was the featured tenor on “Sing Along With Mitch” and often musically honored his Irish heritage. RIP, Bob.  #RIPBobMcGrath  #SesamestreetBob",0,2,6,6,0.7717,pos
RIP Bob,Nesws,RIP Bob McGrath… ask your parents or maybe even grandparents…a part of their childhood.  @sesamestreet  #whoarethepeopleinyourneighbourhood,0,1,4,4,0.0,neu
RIP Bob,Nesws,"Nothing this good being made now. RIP, Bob.",1,0,3,N/A,-0.3412,neg
RIP Bob,Nesws,RIP Bob McGrath . You taught me so much when I was a child.,0,0,2,N/A,0.0,neu
RIP Bob,Nesws,"It doesn’t cost anything to be kind   Thank you,  @sesamestreet",61,"1,642","6,301",147,0.7096,pos
RIP Bob,Nesws,"Rest in Peace, Bob McGrath.  Thank you for being a person in our neighborhood ",673,11.4K,60.7K,"1,664",0.7184,pos
RIP Bob,Nesws,"Oh no, I'm sorry to hear this. What he meant to me and millions of other kids watching Sesame Street.  RIP, Bob McGrath.",20,155,886,16,-0.0772,neg
RIP Bob,Nesws,"I remember watching Sesame Street when it first started. It, Romper Room and Electric Company were my favorites. RIP Bob.",19,10,246,246,0.4215,pos
RIP Bob,Nesws,"'Sesame Street' veteran Bob McGrath, who was one of the original human stars of the children's series dating back to the '60s, has died.",235,"2,376","6,180",571,-0.3182,neg
RIP Bob,Nesws,#RIP Bob McGrath from Sesame Street > https://tmz.com/2022/12/04/sesame-street-actor-bob-mcgrath-dead-dies/…,45,490,"2,571",80,0.0,neu
RIP Bob,Nesws,RIP Bob. Suddenly the day is less sunny…,46,78,575,8,0.0,neu
RIP Bob,Nesws,RIP Bob McGrath. ,7,115,683,14,0.0,neu
RIP Bob,Nesws,"Bob was…IS our childhood. He was an amazingly kind and generous person. I wish I had more magical days with him. RIP, Bob.",2,10,252,5,0.8737,pos
Ty Voit,Nesws,"OHL assist leaders:  1. Ty Voit: 39 2. Ty Voit, but only his primary assists: 27 3. Quentin Musty: 25 4. Christian Kyrou: 25 5. Logan Morrison: 24",5,60,585,15,0.3818,pos
Ty Voit,Nesws,No Ty Voit on the USA camp roster likely means there will be no #Leafs prospect at the 2023 World Juniors  Canadians Fraser Minten and Nick Moldenhauer are likely candidates for the 2024 edition,8,9,95,2,-0.6454,neg
Ty Voit,Nesws,Top 5 OHL scorers Sasha Pastujov and Ty Voit won't be on the soon to be announced USA WJC camp roster.,22,75,186,53,0.5267,pos
Ty Voit,Nesws,"USA taking Tyler Boucher (14 points, under a point per game, on a 21-4 team) over Ty Voit (48 points in 27 games on a 13-14 team) is hilarious.",4,4,17,1,0.6486,pos
Ty Voit,Nesws,Ain't no way team USA is leaving off the OHL leading point scorer Ty Voit for future ECHL superstar Ty Boucher,3,3,83,83,0.7259,pos
Ty Voit,Nesws,That’s a stunner. #Leafs prospect and OHL leading scorer Ty Voit will not even be invited to Team USA camp,9,2,99,99,0.5859,pos
Ty Voit,Nesws,"Notably absent: Returnee Sasha Pastujov (ANA), who is third in OHL scoring and had four points in five games in a complementary role in Edmonton this summer, as well as OHL leading scorer Ty Voit (TOR), who has more primary assists than the nearest player has assists.",8,5,142,1,0.5719,pos
Ty Voit,Nesws,"Ty Voit, Leafs 2021 5th rounder, leads the Sarnia Sting in scoring by 22 points. He’s the OHL’s leading scorer. Not even INVITED to US camp for the world juniors.",1,0,15,N/A,0.3818,pos
Ty Voit,Nesws,"Unlikely to be any Leafs Prospects in the WJC with Ty Voit getting snubbed. Their top prospects (Knies, Hirvonen, Niemela) are all 2002 birthdays making them too old.",5,0,36,N/A,0.5859,pos
Ty Voit,Nesws,No Ty Voit is pretty ridiculous! #Leafs,4,1,10,10,-0.1965,neg
Ty Voit,Nesws,I believe in Ty Voit,3,2,103,103,0.3818,pos
Ty Voit,Nesws,Ty Voit getting the Kyle Connor treatment is crazy   #USA #WorldJuniors,1,0,2,N/A,0.0516,pos
Ty Voit,Nesws,"#LeafsForever prospect Ty Voit with a very nice primary assist on the PP today, to go with a goal. He has 16 points in his last 7 games, and now has an 11 point lead atop the OHL with 48 in only 27 games.",8,23,285,8,0.7841,pos
Ty Voit,Nesws,Leafs prospect Ty Voit has been snubbed from USA’s World Junior camp. He leads the OHL in points by 11. Blasphemy.,0,0,4,N/A,0.2023,pos
Ty Voit,Nesws,Hey #LeafsForever fans. Ty Voit should’ve made USA’s WJC camp roster. Which is why I’m going to write about how awesome he is  @TheHockeyWriter,0,0,8,N/A,0.7717,pos
Ty Voit,Nesws,"Ty Voit: top scorer in the OHL, would have been a perfect 13th forward.  Sasha Pastujov: A key piece of the summer WJC team, third in OHL scoring. #WorldJuniors",4,0,24,N/A,0.7964,pos
Ty Voit,Nesws,I believe in Ty Voit,1,4,86,86,0.3818,pos
Ty Voit,Nesws,Ty Voit scored his third goal in as many days earlier today and took a dirty cross-check in the process.  #LeafsForever,1,3,47,1,-0.0772,neg
Ty Voit,Nesws,@ryanwhitney6  how does Ty Voit (leading ohl in points) and Sasha too 5 in ohl points not make team usa ??,0,0,1,N/A,0.4515,pos
Ty Voit,Nesws,USA? More like USB because this team is going to fail to connect without Ty Voit,1,0,4,N/A,-0.4387,neg
Ty Voit,Nesws,Ty Voit is going OFF,2,0,32,N/A,0.3818,pos
Ty Voit,Nesws,"A talented group. I am surprised they didn’t even invite Ty Voit, a Toronto Maple Leafs pick who is absolutely dominating the OHL scoring race right now.",0,0,5,N/A,0.7102,pos
Ty Voit,Nesws,"sorry, you're telling me that tyler boucher got an invite to usa's wjc camp and ty voit didn't  i have to laugh",0,1,19,19,0.7579,pos
Ty Voit,Nesws,"With his 35th tonight, Ty Voit now leads the OHL in assists by 12.    He has as many primary assists as the next closest has total assists (23).",2,2,27,27,0.3818,pos
Ty Voit,Nesws,Ty Voit is just on another level. I can't believe the Leafs got this kid in the 5th round.,0,0,12,N/A,0.3818,pos
Ty Voit,Nesws,"The omission of Ty Voit is extremely surprising considering how dominant he’s been in the OHL.   But I’m loving the Gavin Brindley invite. 1st round talent for the #2023NHLDraft with speed, skill, and tenacity without the puck.",0,0,1,N/A,0.9253,pos
Ty Voit,Nesws,"Ty Voit (#96) had 4 assists (2 primary) vs. Mississauga on Wed but was held off the scoresheet in a 4-1 loss vs. Saginaw on Fri and a humiliating 10-0 loss vs. Flint on Sat. He leads the OHL in scoring by 5 PTS over Pavel Mintyukov  Totals (OHL, RW): 24 GP, 6 G, 40 PTS",2,0,16,0,-0.7845,neg
Ty Voit,Nesws,USA hockey prefers to take home grown players over players playing in Canada or Europe. Which is a pretty dumb move considering Ty Voit leads the OHL in pts by 9.,0,0,5,75,0.5106,pos
Saputo,Nesws,New Beginnings.,39,134,495,58,0.0,neu
Saputo,Nesws,The Joey Saputo implosion plan.,0,1,3,3,0.0,neu
Saputo,Nesws,If I say what needs to happen to Joey Saputo I’ll get banned for life,1,0,2,N/A,-0.4588,neg
Saputo,Nesws,The one constant with this organization has been the inability to find stability at head coach since their MLS debut. What a horrific indictment of Joey Saputo’s stewardship.,0,0,2,33,-0.7964,neg
Saputo,Nesws,The Saputo Experience ,0,0,1,N/A,0.0,neu
Saputo,Nesws,When is the transfer money banner being raised at Stad Saputo?,0,1,2,2,0.0,neu
Saputo,Nesws,"The scale of rebuild Montreal needs this winter almost merits an HGTV show, cripes  Those players were always going to leave for their shot at Europe, but Saputo tanking the relationship with his overperforming coach was A Choice",0,0,0,N/A,0.154,pos
Saputo,Nesws,Sounds like Joey Saputo is has a lot of this cash earmarked for renovations to the Bologna stadium.,0,0,1,0,0.3612,pos
Saputo,Nesws,"I mean that's what happens with small clubs. You hit oil sometimes, and when you do you have no choice but to sell it. You hope to take advantage while you have it, or reinvest it to make it happen more often but Saputo isn't that kinda guy. Huge ego in MTL at board level. Tough",0,0,1,33,0.7602,pos
Saputo,Nesws,"I understand the rift with Saputo, but you find ways to deal with that and resolve it. The team gave him every opportunity. Going to another MLS team is a gut punch",1,0,1,0,0.7964,pos
