Topic,Tag,Tweet,Replies,Retweets,Likes,Quote Retweets,Sentiment Score,Sentiment
NFL,Tech,Group of fighters.,80,74,975,N/A,-0.0516,neg
NFL,Tech,“Proud of the way our defense just kept holding up in the 4th quarter and got the job done.”  Kirk Cousins credited the  @Vikings  defense for a hard-fought win against the Jets.    @EvanWashburn,13,32,399,0,0.8074,pos
NFL,Tech,"""I'm proud to be this team's coach.""",94,140,"1,357",24,0.4767,pos
NFL,Tech,Jets went 1-for-6 in the red zone. That is the story of the game. Jets fall to 7-5.,54,69,735,11,0.0,neu
NFL,Tech,FINAL: The  @Vikings  are 10-2! #Skol #NYJvsMIN,121,790,"6,795",80,0.0,neu
NFL,Tech,Hit that Griddy! @dalvincook  @LAHGRIDDY2x    #ProBowlVote,3,85,613,1,0.0,neu
NFL,Tech,Making moves and finding the paint.   #ProBowlVote  @DalvinCook    :  @NFLonCBS,8,95,632,3,0.0,neu
NFL,Tech,Jordan Whitehead penalized for playing football,74,212,"1,722",19,0.2023,pos
NFL,Tech,Zuerlein makes it 3-3. Pretty clear that White is a little bit off so far. Ball placement a little behind on crossing receivers. Maybe a little jittery. Should settle in as the game goes on. #Jets,62,14,248,8,0.7003,pos
NFL,Tech,. @HarriSmith22  doing HOF things again.  :  @NFLonCBS,9,93,953,10,0.0,neu
NFL,Tech,"Former #Vikings WR Jarius Wright, who had a walk-off touchdown in overtime the last time the Jets played the Vikings in Minneapolis, is back to sound the Gjallarhorn today.",0,11,326,3,0.34,pos
#Canucks,Tech,@Canucks  After leaving the Capitals game my special needs son slipped on ice. His face required stitches. A woman who’s name is Roxanne and is a nurse helped me bandage his face and walk him to my car. I want to give her tix to a future game. #canucks please help me find her ,29,237,684,17,0.7906,pos
#Canucks,Tech,Hey #Canucks Twitter! Let’s help Daryl find this good samaritan!,16,253,"1,044",3,0.769,pos
#Canucks,Tech,Ethan BEAR Appreciation Tweet.   #Canucks  @Canucks,19,25,428,1,0.5106,pos
#Canucks,Tech,"""The cool thing is the guys at the top of that list are all honest guys. I played against a lot of them and I recognize when they're on the ice and it's usually a hard night, a hard shift.""   Luke Schenn on becoming the  @NHL  all-time leader in hits @theprovince  | #Canucks",8,37,463,4,0.7906,pos
#Canucks,Tech,Family first! #CANUCKS #BOESER! ,4,2,162,163,0.0,neu
#Canucks,Tech,"Danila Klimovich has points in 4 straight! (1 G, 3 A)   Has 7 points in 15 games...  Has been scratched 5 times already... LET THE KID PLAY!   #Canucks",0,1,1,1,0.6825,pos
#Canucks,Tech,Those Bo haters do be silent lately. Love my Cap!  #Canucks,7,4,93,93,0.3164,pos
#Canucks,Tech,"This #Canucks management group is a tire fire. That’s incredibly impressive, considering what they replaced.",34,9,277,0,0.2944,pos
#Canucks,Tech,The funny thing about #Canucks fans is that they beg for hockey to come back after a long boring off season and when it comes back they start complaining about everything. Enjoy the team stop worrying about what management should do lol,2,0,3,N/A,0.296,pos
#Canucks,Tech,"“Give him a hand, give him a hand,” Boudreau tells the #Canucks bench.  Dakota Joshua was exiting the penalty box after a fight.",33,108,"1,931",0,-0.34,neg
#Canucks,Tech,The correct way #Canucks,33,17,209,0,0.0,neu
#Canucks,Tech,Fixed.   #Canucks,1,6,65,0,0.0,neu
#Canucks,Tech,Power duo #canucks,10,13,275,0,0.0,neu
